# m[MeV] , R, Q
9.54095e-03, 3, 1.00000e-10
9.54095e-03, 3, 1.38950e-10
9.54095e-03, 3, 1.93070e-10
9.54095e-03, 3, 2.68270e-10
9.54095e-03, 3, 3.72759e-10
9.54095e-03, 3, 5.17947e-10
9.54095e-03, 3, 7.19686e-10
9.54095e-03, 3, 1.00000e-09
9.54095e-03, 3, 1.38950e-09
9.54095e-03, 3, 1.93070e-09
9.54095e-03, 3, 2.68270e-09
9.54095e-03, 3, 3.72759e-09
9.54095e-03, 3, 5.17947e-09
9.54095e-03, 3, 7.19686e-09
9.54095e-03, 3, 1.00000e-08
9.54095e-03, 3, 1.38950e-08
9.54095e-03, 3, 1.93070e-08
9.54095e-03, 3, 2.68270e-08
9.54095e-03, 3, 3.72759e-08
9.54095e-03, 3, 5.17947e-08
9.54095e-03, 3, 7.19686e-08
9.54095e-03, 3, 1.00000e-07
9.54095e-03, 3, 1.38950e-07
9.54095e-03, 3, 1.93070e-07
9.54095e-03, 3, 2.68270e-07
9.54095e-03, 3, 3.72759e-07
9.54095e-03, 3, 5.17947e-07
9.54095e-03, 3, 7.19686e-07
9.54095e-03, 3, 1.00000e-06
9.54095e-03, 3, 1.38950e-06
9.54095e-03, 3, 1.93070e-06
9.54095e-03, 3, 2.68270e-06
9.54095e-03, 3, 3.72759e-06
9.54095e-03, 3, 5.17947e-06
9.54095e-03, 3, 7.19686e-06
9.54095e-03, 3, 1.00000e-05
9.54095e-03, 3, 1.38950e-05
9.54095e-03, 3, 1.93070e-05
9.54095e-03, 3, 2.68270e-05
9.54095e-03, 3, 3.72759e-05
9.54095e-03, 3, 5.17947e-05
9.54095e-03, 3, 7.19686e-05
9.54095e-03, 3, 1.00000e-04
1.26486e-02, 3, 1.00000e-11
1.26486e-02, 3, 1.38950e-11
1.26486e-02, 3, 1.93070e-11
1.26486e-02, 3, 2.68270e-11
1.26486e-02, 3, 3.72759e-11
1.26486e-02, 3, 5.17947e-11
1.26486e-02, 3, 7.19686e-11
1.26486e-02, 3, 1.00000e-10
1.26486e-02, 3, 1.38950e-10
1.26486e-02, 3, 1.93070e-10
1.26486e-02, 3, 2.68270e-10
1.26486e-02, 3, 3.72759e-10
1.26486e-02, 3, 5.17947e-10
1.26486e-02, 3, 7.19686e-10
1.26486e-02, 3, 1.00000e-09
1.26486e-02, 3, 1.38950e-09
1.26486e-02, 3, 1.93070e-09
1.26486e-02, 3, 2.68270e-09
1.26486e-02, 3, 3.72759e-09
1.26486e-02, 3, 5.17947e-09
1.26486e-02, 3, 7.19686e-09
1.26486e-02, 3, 1.00000e-08
1.26486e-02, 3, 1.38950e-08
1.26486e-02, 3, 1.93070e-08
1.26486e-02, 3, 2.68270e-08
1.26486e-02, 3, 3.72759e-08
1.26486e-02, 3, 5.17947e-08
1.26486e-02, 3, 7.19686e-08
1.26486e-02, 3, 1.00000e-07
1.26486e-02, 3, 1.38950e-07
1.26486e-02, 3, 1.93070e-07
1.26486e-02, 3, 2.68270e-07
1.26486e-02, 3, 3.72759e-07
1.26486e-02, 3, 5.17947e-07
1.26486e-02, 3, 7.19686e-07
1.26486e-02, 3, 1.00000e-06
1.26486e-02, 3, 1.38950e-06
1.26486e-02, 3, 1.93070e-06
1.26486e-02, 3, 2.68270e-06
1.26486e-02, 3, 3.72759e-06
1.26486e-02, 3, 5.17947e-06
1.26486e-02, 3, 7.19686e-06
1.26486e-02, 3, 1.00000e-05
1.26486e-02, 3, 1.38950e-05
1.26486e-02, 3, 1.93070e-05
1.26486e-02, 3, 2.68270e-05
1.26486e-02, 3, 3.72759e-05
1.26486e-02, 3, 5.17947e-05
1.26486e-02, 3, 7.19686e-05
1.26486e-02, 3, 1.00000e-04
1.67683e-02, 3, 1.00000e-11
1.67683e-02, 3, 1.38950e-11
1.67683e-02, 3, 1.93070e-11
1.67683e-02, 3, 2.68270e-11
1.67683e-02, 3, 3.72759e-11
1.67683e-02, 3, 5.17947e-11
1.67683e-02, 3, 7.19686e-11
1.67683e-02, 3, 1.00000e-10
1.67683e-02, 3, 1.38950e-10
1.67683e-02, 3, 1.93070e-10
1.67683e-02, 3, 2.68270e-10
1.67683e-02, 3, 3.72759e-10
1.67683e-02, 3, 5.17947e-10
1.67683e-02, 3, 7.19686e-10
1.67683e-02, 3, 1.00000e-09
1.67683e-02, 3, 1.38950e-09
1.67683e-02, 3, 1.93070e-09
1.67683e-02, 3, 2.68270e-09
1.67683e-02, 3, 3.72759e-09
1.67683e-02, 3, 5.17947e-09
1.67683e-02, 3, 7.19686e-09
1.67683e-02, 3, 1.00000e-08
1.67683e-02, 3, 1.38950e-08
1.67683e-02, 3, 1.93070e-08
1.67683e-02, 3, 2.68270e-08
1.67683e-02, 3, 3.72759e-08
1.67683e-02, 3, 5.17947e-08
1.67683e-02, 3, 7.19686e-08
1.67683e-02, 3, 1.00000e-07
1.67683e-02, 3, 1.38950e-07
1.67683e-02, 3, 1.93070e-07
1.67683e-02, 3, 2.68270e-07
1.67683e-02, 3, 3.72759e-07
1.67683e-02, 3, 5.17947e-07
1.67683e-02, 3, 7.19686e-07
1.67683e-02, 3, 1.00000e-06
1.67683e-02, 3, 1.38950e-06
1.67683e-02, 3, 1.93070e-06
1.67683e-02, 3, 2.68270e-06
1.67683e-02, 3, 3.72759e-06
1.67683e-02, 3, 5.17947e-06
1.67683e-02, 3, 7.19686e-06
1.67683e-02, 3, 1.00000e-05
1.67683e-02, 3, 1.38950e-05
1.67683e-02, 3, 1.93070e-05
1.67683e-02, 3, 2.68270e-05
1.67683e-02, 3, 3.72759e-05
1.67683e-02, 3, 5.17947e-05
1.67683e-02, 3, 7.19686e-05
1.67683e-02, 3, 1.00000e-04
2.22300e-02, 3, 1.00000e-11
2.22300e-02, 3, 1.38950e-11
2.22300e-02, 3, 1.93070e-11
2.22300e-02, 3, 2.68270e-11
2.22300e-02, 3, 3.72759e-11
2.22300e-02, 3, 5.17947e-11
2.22300e-02, 3, 7.19686e-11
2.22300e-02, 3, 1.00000e-10
2.22300e-02, 3, 1.38950e-10
2.22300e-02, 3, 1.93070e-10
2.22300e-02, 3, 2.68270e-10
2.22300e-02, 3, 3.72759e-10
2.22300e-02, 3, 5.17947e-10
2.22300e-02, 3, 7.19686e-10
2.22300e-02, 3, 1.00000e-09
2.22300e-02, 3, 1.38950e-09
2.22300e-02, 3, 1.93070e-09
2.22300e-02, 3, 2.68270e-09
2.22300e-02, 3, 3.72759e-09
2.22300e-02, 3, 5.17947e-09
2.22300e-02, 3, 7.19686e-09
2.22300e-02, 3, 1.00000e-08
2.22300e-02, 3, 1.38950e-08
2.22300e-02, 3, 1.93070e-08
2.22300e-02, 3, 2.68270e-08
2.22300e-02, 3, 3.72759e-08
2.22300e-02, 3, 5.17947e-08
2.22300e-02, 3, 7.19686e-08
2.22300e-02, 3, 1.00000e-07
2.22300e-02, 3, 1.38950e-07
2.22300e-02, 3, 1.93070e-07
2.22300e-02, 3, 2.68270e-07
2.22300e-02, 3, 3.72759e-07
2.22300e-02, 3, 5.17947e-07
2.22300e-02, 3, 7.19686e-07
2.22300e-02, 3, 1.00000e-06
2.22300e-02, 3, 1.38950e-06
2.22300e-02, 3, 1.93070e-06
2.22300e-02, 3, 2.68270e-06
2.22300e-02, 3, 3.72759e-06
2.22300e-02, 3, 5.17947e-06
2.22300e-02, 3, 7.19686e-06
2.22300e-02, 3, 1.00000e-05
2.22300e-02, 3, 1.38950e-05
2.22300e-02, 3, 1.93070e-05
2.22300e-02, 3, 2.68270e-05
2.22300e-02, 3, 3.72759e-05
2.22300e-02, 3, 5.17947e-05
2.22300e-02, 3, 7.19686e-05
2.22300e-02, 3, 1.00000e-04
2.94705e-02, 3, 1.00000e-11
2.94705e-02, 3, 1.38950e-11
2.94705e-02, 3, 1.93070e-11
2.94705e-02, 3, 2.68270e-11
2.94705e-02, 3, 3.72759e-11
2.94705e-02, 3, 5.17947e-11
2.94705e-02, 3, 7.19686e-11
2.94705e-02, 3, 1.00000e-10
2.94705e-02, 3, 1.38950e-10
2.94705e-02, 3, 1.93070e-10
2.94705e-02, 3, 2.68270e-10
2.94705e-02, 3, 3.72759e-10
2.94705e-02, 3, 5.17947e-10
2.94705e-02, 3, 7.19686e-10
2.94705e-02, 3, 1.00000e-09
2.94705e-02, 3, 1.38950e-09
2.94705e-02, 3, 1.93070e-09
2.94705e-02, 3, 2.68270e-09
2.94705e-02, 3, 3.72759e-09
2.94705e-02, 3, 5.17947e-09
2.94705e-02, 3, 7.19686e-09
2.94705e-02, 3, 1.00000e-08
2.94705e-02, 3, 1.38950e-08
2.94705e-02, 3, 1.93070e-08
2.94705e-02, 3, 2.68270e-08
2.94705e-02, 3, 3.72759e-08
2.94705e-02, 3, 5.17947e-08
2.94705e-02, 3, 7.19686e-08
2.94705e-02, 3, 1.00000e-07
2.94705e-02, 3, 1.38950e-07
2.94705e-02, 3, 1.93070e-07
2.94705e-02, 3, 2.68270e-07
2.94705e-02, 3, 3.72759e-07
2.94705e-02, 3, 5.17947e-07
2.94705e-02, 3, 7.19686e-07
2.94705e-02, 3, 1.00000e-06
2.94705e-02, 3, 1.38950e-06
2.94705e-02, 3, 1.93070e-06
2.94705e-02, 3, 2.68270e-06
2.94705e-02, 3, 3.72759e-06
2.94705e-02, 3, 5.17947e-06
2.94705e-02, 3, 7.19686e-06
2.94705e-02, 3, 1.00000e-05
2.94705e-02, 3, 1.38950e-05
2.94705e-02, 3, 1.93070e-05
2.94705e-02, 3, 2.68270e-05
2.94705e-02, 3, 3.72759e-05
2.94705e-02, 3, 5.17947e-05
2.94705e-02, 3, 7.19686e-05
2.94705e-02, 3, 1.00000e-04
3.90694e-02, 3, 1.00000e-11
3.90694e-02, 3, 1.38950e-11
3.90694e-02, 3, 1.93070e-11
3.90694e-02, 3, 2.68270e-11
3.90694e-02, 3, 3.72759e-11
3.90694e-02, 3, 5.17947e-11
3.90694e-02, 3, 7.19686e-11
3.90694e-02, 3, 1.00000e-10
3.90694e-02, 3, 1.38950e-10
3.90694e-02, 3, 1.93070e-10
3.90694e-02, 3, 2.68270e-10
3.90694e-02, 3, 3.72759e-10
3.90694e-02, 3, 5.17947e-10
3.90694e-02, 3, 7.19686e-10
3.90694e-02, 3, 1.00000e-09
3.90694e-02, 3, 1.38950e-09
3.90694e-02, 3, 1.93070e-09
3.90694e-02, 3, 2.68270e-09
3.90694e-02, 3, 3.72759e-09
3.90694e-02, 3, 5.17947e-09
3.90694e-02, 3, 7.19686e-09
3.90694e-02, 3, 1.00000e-08
3.90694e-02, 3, 1.38950e-08
3.90694e-02, 3, 1.93070e-08
3.90694e-02, 3, 2.68270e-08
3.90694e-02, 3, 3.72759e-08
3.90694e-02, 3, 5.17947e-08
3.90694e-02, 3, 7.19686e-08
3.90694e-02, 3, 1.00000e-07
3.90694e-02, 3, 1.38950e-07
3.90694e-02, 3, 1.93070e-07
3.90694e-02, 3, 2.68270e-07
3.90694e-02, 3, 3.72759e-07
3.90694e-02, 3, 5.17947e-07
3.90694e-02, 3, 7.19686e-07
3.90694e-02, 3, 1.00000e-06
3.90694e-02, 3, 1.38950e-06
3.90694e-02, 3, 1.93070e-06
3.90694e-02, 3, 2.68270e-06
3.90694e-02, 3, 3.72759e-06
3.90694e-02, 3, 5.17947e-06
3.90694e-02, 3, 7.19686e-06
3.90694e-02, 3, 1.00000e-05
3.90694e-02, 3, 1.38950e-05
3.90694e-02, 3, 1.93070e-05
3.90694e-02, 3, 2.68270e-05
3.90694e-02, 3, 3.72759e-05
